"Country","Region","Infant_deaths","Under_five_deaths","Adult_mortality","Alcohol_consumption","BMI","Incidents_HIV","Population_mln","Thinness_ten_nineteen_years","Thinness_five_nine_years","Schooling","Life_expectancy"
"Zimbabwe","Africa",42.1,61.3,368.141,3.84,23.8,3.86,13.81,5.6,5.5,8.2,59.5
"Italy","European Union",4.3,5,72.478,9.25,25.5,0.09,57.06,0.5,0.5,8.8,80.2
"United Kingdom","Rest of Europe",4.1,4.8,69.147,9.53,27,0.08,63.7,0.8,0.5,12.9,80.9
"Lesotho","Africa",69,93.9,538.191,2.38,24.7,11.51,2,6.8,6.6,5.8,46.2
"United States","North America",6.6,7.7,109.026,8.74,28.3,0.13,301.23,0.7,0.6,12.9,78
"Solomon Islands","Oceania",23.3,27.8,179.355,1.07,25.6,0.17,0.5,1.2,1.2,5,70.1
"Nigeria","Africa",80.1,127.9,360.3385,4.45,23.2,0.58,176.4,1.1,9.9,5.9,52.7
"Bulgaria","European Union",7.8,9.3,133.448,10.32,26.2,0.03,7.27,1.9,1.9,10.9,74.9
"Poland","European Union",8.1,9.3,152.9305,8.4,25.4,0.08,38.26,2.5,2.8,11.1,73.7
"Zimbabwe","Africa",46.5,72.2,423.442,3.93,23.7,5.13,13.12,6.5,6.4,7.9,55
"Iceland","Rest of Europe",2.7,3.4,61.9875,6.71,25.7,0.03,0.29,1,0.9,9.9,81
"Malta","European Union",5.7,6.6,51.8135,7.37,27.1,0.08,0.45,0.8,0.8,11.2,81.9
"Georgia","Rest of Europe",27.7,31.5,168.977,2.74,26,0.03,3.98,2.9,3,11.9,70.2
"Ethiopia","Africa",76.7,121.8,369.5585,0.14,20,0.83,72.17,11.6,11.5,1.7,54.2
"Belgium","European Union",3.4,4.2,75.9595,10.33,26,0.08,11.16,1,0.9,11.4,80.6
"New Zealand","Oceania",5.2,6.3,73.0145,9.48,27.5,0.04,4.26,0.3,0.3,11.8,80.4
"Sierra Leone","Africa",97.7,141.2,406.0525,3.12,22.6,0.95,6.86,7.7,7.6,3.3,51.7
"Singapore","Asia",2.5,3.2,71.202,1.43,23.5,0.15,4.11,2.1,2,9.8,79
"Slovak Republic","European Union",6.4,7.7,137.7115,10.96,25.8,0.01,5.37,1.3,1.4,11.1,74.2
"Nepal","Asia",53.1,70.4,221.783,0.19,20.9,0.17,24.73,18.2,18.8,2.5,63.6
"Tonga","Oceania",11,12.8,138.9635,0.22,31.9,0.17,0.1,0.1,0.1,10.9,70.2
"Bahamas, The","Central America and Caribbean",12.8,14.9,163.272,9.37,27.7,0.39,0.36,2.5,2.5,11.1,72.4
"Kenya","Africa",35.2,48.9,223.608,1.65,23.3,1.15,47.88,7.8,7.6,6.3,64.8
"Cameroon","Africa",72.7,117.6,368.451,5.5,23.8,2.27,19.25,6.4,6.5,5.2,54.2
"Timor-Leste","Oceania",62.1,76.1,189.4355,0.039,20.3,0.06,1.02,11.9,11.9,3.4,64.8
"Canada","North America",5.3,6.2,77.6255,7.7,26.5,0.1,31.64,0.5,0.4,11.7,79.7
"Lithuania","European Union",4.5,5.5,184.524,14.76,26.3,0.09,3.03,2.7,2.8,11.8,73.6
"Armenia","Rest of Europe",22.2,25,141.353,3.73,25.8,0.08,3,2,2.1,10.8,72.5
"Bangladesh","Asia",32.5,40.1,132.246,0.01,21.5,0.01,154.52,18.1,18.6,5.2,71.2
"Germany","European Union",3.8,4.6,82.246,11.76,26.1,0.08,82.38,1.1,1.1,13.6,79.1
"Papua New Guinea","Oceania",43,55.2,230.8385,0.94,25.2,0.38,7.63,1.3,1.3,4.2,62.6
"Tonga","Oceania",12.7,14.7,150.2735,1.89,31.6,0.17,0.1,0.1,0.1,9.2,69.8
"Cambodia","Asia",32.3,37.7,186.6,2.52,21.8,0.12,14.78,11,11.2,4.5,67.5
"Gambia, The","Africa",53.1,91.5,287.749,3.31,22.7,1.44,1.54,9.2,9.1,2.4,57.9
"Bosnia and Herzegovina","Rest of Europe",6.6,7.5,104.296,4.69,25.3,0.08,3.74,2.7,2.7,7.7,75.8
"Djibouti","Africa",62.5,76.6,272.2445,0.48,23.9,0.43,0.84,5.6,5.6,4,60.1
"Ukraine","Rest of Europe",12,14,263.497,7.42,26.1,0.35,46.79,2.6,2.7,11.2,68.1
"Eswatini","Africa",69,115.8,591.9355,6.7,25.6,20.8,1.01,9,9.2,3.7,45.8
"Mongolia","Asia",17.4,20.4,215.2245,9.88,26,0.02,2.94,2.2,2.3,10.1,68.9
"Canada","North America",5.3,6.1,75.8795,7.8,26.6,0.1,31.94,0.5,0.4,12,79.9
"Costa Rica","Central America and Caribbean",9.9,11.3,95.7985,4.11,26.3,0.15,4.29,2,2,7.9,78.1
"Vietnam","Asia",22.6,28.5,138.4385,0.76,20,0.25,80.74,15.7,16.4,5.6,73.2
"Slovenia","European Union",2.3,2.8,77.3625,9.53,26.3,0.02,2.06,1.4,1.4,11.7,80.3
"Poland","European Union",4.9,5.7,126.5725,10.24,26.2,0.08,38.06,2,2.2,12.3,76.7
"Mozambique","Africa",106.1,161,440.8905,0.65,21.7,3.5,18.22,4.1,4,2.4,49.3
"Philippines","Asia",26.9,34.9,211.6655,4.42,22.4,0.01,84.71,1,9.7,8.6,69
"New Zealand","Oceania",5.8,7,82.496,9.09,26.9,0.03,3.95,0.3,0.3,11.6,78.8
"Chad","Africa",99.7,184,406.9915,0.3,20.9,1.39,8.36,11.5,11.4,1.4,47.7
"Sao Tome and Principe","Central America and Caribbean",29.7,39.3,199.2275,4.34,24.4,0.36,0.18,6.3,6.2,4.8,66.9
"Australia","Oceania",5,6,71.935,9.84,26.4,0.04,19.65,0.7,0.7,11.8,79.9
"Montenegro","Rest of Europe",3.3,4,100.861,8.49,26.5,0.03,0.62,1.8,1.8,11.3,76.4
"Cambodia","Asia",61.8,78,236.439,0.84,20.9,0.45,12.86,11.6,11.7,3.4,61.2
"Gabon","Africa",49,75.8,319.386,8.02,24.2,2.84,1.35,7.4,7.2,6.8,57.9
"Singapore","Asia",2.3,2.9,65.786,1.55,23.5,0.14,4.4,2.1,2,10.1,80.1
"Fiji","Oceania",20,23.5,191.3835,2.43,27.3,0.11,0.87,4,3.7,10.1,66.9
"Greece","European Union",3.8,4.4,70.7555,6.68,27.1,0.06,10.82,0.8,0.7,10.6,81
"Mongolia","Asia",45.3,58.5,266.119,2.18,24.4,0.01,2.42,2.5,2.6,8.3,63.3
"Vietnam","Asia",21,26.4,136.971,0.93,20.2,0.26,82.3,15.6,16.2,6,73.7
"Bosnia and Herzegovina","Rest of Europe",7.9,9.1,111.9335,4.38,25,0.08,3.76,3,3,7.3,75.1
"Barbados","Central America and Caribbean",14.4,15.7,118.7115,7.43,26.8,0.57,0.28,4.1,4,9.2,77.8
"Lao PDR","Asia",61.1,82.9,237.688,3.71,21.7,0.16,5.85,9.9,9.9,4.3,62.2
"Brunei Darussalam","Asia",7.7,9.5,91.9455,0.83,26,0.1,0.37,6.2,5.7,8.6,74.4
"Malta","European Union",5.8,6.7,55.7385,6.99,27.1,0.08,0.41,0.8,0.7,10.3,81.4
"Honduras","Central America and Caribbean",25.5,30.6,164.069,2.83,25.3,0.22,7.28,2.6,2.5,4.6,71.8
"Switzerland","Rest of Europe",3.8,4.4,53.4515,9.87,25.1,0.06,8,0.5,0.3,13.4,82.7
"Tajikistan","Asia",50.4,60.1,161.477,0.7,24.5,0.03,6.66,3.9,3.9,10.5,65.3
"Bangladesh","Asia",34,42.2,134.7385,0,21.4,0.01,152.76,18.3,18.8,5.1,70.9
"Philippines","Asia",26.4,34.2,210.905,4.19,22.5,0.01,86.33,1,9.7,8.7,69.1
"Kyrgyz Republic","Asia",20.9,23.5,171.816,6.18,26.4,0.13,5.84,3.3,3.4,10.8,70.4
"Lebanon","Middle East",16,18.7,97.5565,2.32,26.4,0.02,3.99,4.9,4.7,7.5,75
"North Macedonia","Rest of Europe",9.9,11.2,98.63,3.56,26.6,0.08,2.07,2.2,2.2,9.5,75.5
"Botswana","Africa",38.9,67,498.38,6.38,23.9,11.63,1.8,1,9.9,8.3,52.1
"Russian Federation","Rest of Europe",8.3,10.4,250.947,10.82,26.1,0.08,142.85,2.3,2.5,11.5,68.8
"Uruguay","South America",12.5,14.4,117.821,6.26,26.3,0.19,3.32,1.6,1.6,8,75.8
"Slovak Republic","European Union",7.6,9.1,145.3625,11.16,25.6,0.01,5.38,1.5,1.6,10.3,73.6
"New Zealand","Oceania",5.3,6.4,75.011,9.2,27.4,0.04,4.22,0.3,0.3,11.8,80.2
"North Macedonia","Rest of Europe",9.2,10.4,106.0775,3.53,26.3,0.08,2.06,2.3,2.3,9.1,75
"Jamaica","Central America and Caribbean",15.1,17.5,137.7585,2.99,27.1,0.57,2.83,1.8,1.7,9,74
"Bolivia","South America",25.4,31.3,184.52,3.15,26.4,0.15,10.87,1.2,1.1,8.7,70.3
"Myanmar","Asia",48.8,63.7,208.6165,0.97,22.1,0.34,50.6,13.1,13.3,4.1,63.5
"Slovak Republic","European Union",6.8,8.2,139.5745,11.06,25.7,0.01,5.37,1.4,1.5,10.8,73.9
"Azerbaijan","Asia",26.7,30.3,129.6915,0.52,26.7,0.06,9.42,2.8,2.8,10.8,71.8
"Papua New Guinea","Oceania",52.1,68.8,265.5145,0.58,24.3,0.64,6.1,1.5,1.5,3.4,59.7
"Tonga","Oceania",11.3,13.2,142.208,1.24,31.8,0.17,0.1,0.1,0.1,10.7,70.1
"El Salvador","Central America and Caribbean",26,31.3,218.122,2.76,26.1,0.39,5.93,2.1,2,5.3,69.2
"Ireland","European Union",3.2,3.7,61.0195,10.81,27.4,0.07,4.7,0.3,0.2,12.3,81.5
"Canada","North America",5.2,6.1,75.7275,8,26.6,0.1,32.24,0.5,0.4,12.2,80.2
"Mongolia","Asia",48.6,63.5,268.2505,2.15,24.3,0.01,2.4,2.6,2.6,8.2,62.9
"Croatia","European Union",4.3,5,92.863,9.5,27.1,0.02,4.24,1.5,1.5,11.1,77.5
"Venezuela, RB","South America",17.4,20.3,157.644,6.99,26.3,0.4,25.1,1.7,1.7,6.8,72.5
"Switzerland","Rest of Europe",4,4.6,59.034,10.15,25.1,0.06,7.74,0.5,0.4,13.3,82
"Burkina Faso","Africa",80.8,153.1,305.8365,5.87,21.4,0.58,13.42,1.3,9.8,1.3,53.3
"Lesotho","Africa",71,92.6,523.0825,2.55,24.8,11.55,2.03,6.1,5.9,6,48.7
"Colombia","South America",14.7,17.1,144.2095,4.37,25.9,0.21,46.08,2.1,1.9,7.6,75.9
"Morocco","Africa",28.4,33,87.1205,0.53,25.3,0.05,31.93,6.4,6.2,4.2,74
"Austria","European Union",4.6,5.5,94.882,13.35,25,0.08,8.01,1.7,1.9,9,78.1
"Chile","South America",7.3,8.5,94.631,7.02,27.5,0.18,17.23,0.8,0.8,9.8,79
"Niger","Africa",67.9,139.3,273.319,0.11,21.4,0.14,15.25,11.2,11,1.4,55.8
"El Salvador","Central America and Caribbean",20.2,23.8,206.0165,2.67,26.7,0.28,6.08,1.8,1.7,6.4,70.3
"France","European Union",3.4,4.8,92.3955,13.14,25,0.11,62.7,0.6,0.6,10.3,80.2
"Nicaragua","Central America and Caribbean",29.9,36.5,193.7615,3.48,25.9,0.14,5.15,2.2,2.1,5.2,69.9
"Dominican Republic","Central America and Caribbean",29.3,35.7,174.858,5.92,25.6,0.65,9.34,3.4,3.4,7.2,71.3
"North Macedonia","Rest of Europe",10.3,11.7,110.659,4.02,26.1,0.08,2.05,2.4,2.4,8.7,74.4
"Kuwait","Middle East",8.2,9.6,61.6325,0,29.2,0.13,3.35,3.4,3.3,7.2,74.7
"Samoa","Oceania",16.5,19.3,148.0145,3.52,31.1,0.17,0.18,0.2,0.2,9.5,70.6
"United Arab Emirates","Middle East",8.6,10.1,86.7395,1.59,27.5,0.13,4.07,5.2,4.9,8.9,75.2
"Uzbekistan","Asia",32.2,37,173.085,1.75,25.6,0.14,26.87,3.1,3.1,10.1,68.9
"Croatia","European Union",4.2,4.9,90.2285,9.64,27.3,0.02,4.2,1.5,1.4,11.2,77.3
"Malta","European Union",5.9,6.7,56.4985,7.1,27.1,0.08,0.41,0.8,0.7,10.2,80.2
"Estonia","European Union",2.6,3.3,123.2,17.29,26.3,0.08,1.31,1.9,1.9,12.6,77
"Bahamas, The","Central America and Caribbean",14.3,16.7,176.668,9.82,27.2,0.59,0.33,2.5,2.5,10.9,72
"Botswana","Africa",45.2,80.5,561.532,5.38,23.6,19.66,1.64,12.3,12.2,7.6,50.6
"Sri Lanka","Asia",11,12.8,127.15,2.29,22.2,0.02,19.84,15.4,15.5,10.6,75
"Netherlands","European Union",4.3,5.1,70.055,9.58,25.4,0.06,16.35,1,1,11.8,79.7
"Sri Lanka","Asia",9.8,11.4,120.153,2.31,22.5,0.01,20.26,15.3,15.3,10.8,75.4
"Tonga","Oceania",11.5,13.4,143.8305,1.08,31.8,0.17,0.1,0.1,0.1,10.4,70
"Malaysia","Asia",6.9,8.1,128.5065,0.5,24.8,0.18,27.24,8.5,8.3,9.4,74.1
"Nicaragua","Central America and Caribbean",26,31.3,181.9365,3.75,26.2,0.13,5.36,2.1,2,5.4,70.9
"Armenia","Rest of Europe",23.3,26.3,139.9,3,25.8,0.08,3.02,2,2.1,10.8,72.3
"St. Vincent and the Grenadines","Central America and Caribbean",18.8,21.3,170.3485,6.22,26.1,0.4,0.11,3.7,3.6,8,71.4
"Eritrea","Africa",53.8,81.1,371.292,0.67,20.2,0.59,2.37,1,1,3.7,55.9
"Bangladesh","Asia",47,61,150.565,0.003,20.7,0.01,140.92,19.7,2.3,4.6,68.2
"Malawi","Africa",39.2,57.6,305.0855,2.01,22.8,2.95,16.29,6.5,6.3,4.4,61
"Kyrgyz Republic","Asia",19.9,22.3,165.7935,5.37,26.5,0.12,5.96,3.3,3.4,10.8,70.7
"Nigeria","Africa",81,129.4,364.4625,4.45,23.1,0.62,171.77,1.4,1.2,5.9,52.2
"Austria","European Union",3.7,4.5,76.57,11.87,25.4,0.08,8.34,1.7,1.9,11.7,80.3
"Serbia","Rest of Europe",7,8.1,137.2965,9.42,25.6,0.02,7.38,2.4,2.4,10.2,73.6
"Honduras","Central America and Caribbean",18.4,21.5,150.585,2.71,26.3,0.07,8.64,2.2,2.1,5.5,73.8
"Dominican Republic","Central America and Caribbean",29.5,36,176.789,5.84,25.5,0.7,9.22,3.5,3.4,7.1,71
"Zambia","Africa",49.1,74.7,323.004,2.78,22.3,5.26,14.47,6.5,6.3,6.7,58.5
"Brunei Darussalam","Asia",8.6,10.4,89.377,0.67,26.9,0.1,0.41,5.7,5.2,9,75.2
"Ethiopia","Africa",62.8,97,306.7815,0.31,20.2,0.52,80.67,11.3,11,2.1,58.5
"Sao Tome and Principe","Central America and Caribbean",27.6,36.1,197.987,5,24.4,0.31,0.18,6.1,6,4.9,67.4
"Switzerland","Rest of Europe",3.7,4.3,49.384,9.62,25.2,0.05,8.28,0.4,0.3,13.4,82.9
"Albania","Rest of Europe",8.8,9.9,76.724,4.1,26.5,0.03,2.89,1.2,1.3,9.7,77.8
"Kiribati","Oceania",50,65.5,217.1505,0.51,28.9,0.17,0.09,0.2,0.2,7,63.7
"Kiribati","Oceania",47.8,62.1,204.6575,0.38,29.7,0.17,0.11,0.1,0.1,7.9,66.4
"Cameroon","Africa",64.2,101.3,356.5925,6.42,24.1,1.55,21.49,5.9,5.9,5.7,56.1
"Lao PDR","Asia",43.8,56.3,199.529,6.74,22.7,0.16,6.64,8.9,9,5,66.1
"Guatemala","Central America and Caribbean",23.7,28.3,163.8125,1.65,26.5,0.03,15.57,1.2,1.2,6.3,73.3
"Algeria","Africa",31.3,36.5,127.5385,0.33,24.5,0.01,32.26,6.3,6.1,6.5,72.1
"Moldova","Rest of Europe",15,17.4,207.4875,6.24,26.6,0.43,2.86,2.9,3.1,11,69.1
"Estonia","European Union",6.7,8.5,199.678,11.64,25.7,0.08,1.37,2.2,2.3,11.9,71.3
"Qatar","Middle East",6.7,7.8,56.2695,1.03,29.1,0.06,2.57,5.2,4.9,9.8,79.8
"Madagascar","Africa",67.5,105.4,280.972,1.17,20.6,0.02,15.77,8.7,8.6,5.2,58.5
"Egypt, Arab Rep.","Africa",24,28.7,160.261,0.21,28.8,0.13,82.76,3,2.9,6.5,70.3
"Guyana","South America",33.4,41.4,223.5645,5.84,25.2,0.85,0.75,5.7,5.5,7.9,66.7
"Tajikistan","Asia",38.1,44.3,146.4255,0.66,25.1,0.17,7.36,3.7,3.8,10.9,68.4
"Mauritania","Africa",55,82.7,203.5835,0,24.9,0.15,4.05,7.8,7.5,4.3,63.9
"Kazakhstan","Asia",14.6,16.3,216.56,3.73,26.1,0.13,16.79,2.4,2.5,11.5,69.5
"Papua New Guinea","Oceania",52.8,69.9,269.8105,0.65,24.2,0.61,5.97,1.5,1.5,3.3,59.5
"Guinea-Bissau","Africa",75.9,120.2,290.506,2.89,23,2.55,1.48,8.3,8.1,2.5,54.1
"Bahrain","Middle East",10,11.6,83.6925,1.87,25.4,0.05,0.74,6.2,5.9,8.4,74.8
"Norway","Rest of Europe",2.4,2.9,60.485,6.21,26.5,0.04,5.08,0.8,0.7,12.7,81.8
"Sri Lanka","Asia",13,15.1,137.477,1.69,21.8,0.02,19.22,15.4,15.5,10.2,73.8
"Peru","South America",29.3,38.2,153.5785,4.76,25,0.19,26.46,1.4,1.4,8,71.1
"Mauritania","Africa",61.2,95.6,212,0,24.6,0.19,3.49,8.7,8.5,3.8,62.5
"Kenya","Africa",50.8,81,431.137,0.69,22.3,3.45,35.64,8.7,8.6,5.7,53.5
"Micronesia, Fed. Sts.","Oceania",30.8,37.8,184.963,2.23,28.8,0.17,0.11,0.3,0.3,4.8,64.6
"United Kingdom","Rest of Europe",5.5,6.4,86.493,11.31,26.4,0.08,59.12,0.7,0.5,11.8,78
"Lithuania","European Union",4.9,6,191.1515,13.22,26.3,0.08,3.1,2.8,2.8,11.6,73.3
"Australia","Oceania",3.6,4.3,60.0415,10.03,27,0.05,22.73,0.6,0.6,12.6,82
"Barbados","Central America and Caribbean",14.4,15.7,116.6365,7.84,26.9,0.55,0.28,4,4,9.2,77.9
"Togo","Africa",66.3,103.1,330.64,1.84,22.6,1.78,5.61,8.4,8.3,4.2,54.6
"Uruguay","South America",8.6,10,109.0375,6.55,26.9,0.24,3.38,1.5,1.5,8.5,77
"Thailand","Asia",10.6,12.4,154.351,7.1,24,0.2,67.84,8,8.1,7.7,75
"Georgia","Rest of Europe",12.7,14.2,170.768,7.72,26.8,0.12,3.79,2.6,2.8,12.2,71.5
"Jordan","Middle East",17.2,20.1,115.693,0.46,28.5,0.13,7.26,3.8,3.8,9.8,73.4
"Cameroon","Africa",79.7,130.6,394.661,4.69,23.5,2.99,17.26,7,7.1,5.1,52.3
"Jamaica","Central America and Caribbean",16.5,19.2,146.556,3.31,26.5,0.67,2.77,1.9,1.7,8.4,74.1
"Bolivia","South America",40.8,52.9,216.0405,3.13,25.4,0.19,9.4,1.3,1.2,7.3,65.9
"Belarus","Rest of Europe",6.7,8.7,248.5795,11.19,26,0.14,9.66,2.3,2.5,9.3,68.9
"Malta","European Union",6.3,7.2,61.136,6.54,27,0.08,0.4,0.7,0.7,8.5,78.5
"Mali","Africa",93.3,168.3,313.3725,0.56,21.9,0.86,11.98,1.3,1.2,1.5,50.4
"Vietnam","Asia",17.8,22.2,127.4215,2.68,21.5,0.13,90.75,14.3,14.9,7.9,75
"Kenya","Africa",39.3,57.4,281.6775,1.52,22.8,2.04,42.03,8.2,8,6.1,61
"Barbados","Central America and Caribbean",14.3,15.6,114.561,8.12,27,0.52,0.28,4,3.9,9.2,78
"Algeria","Africa",27.6,32.1,114.4095,0.38,24.7,0.02,33.64,6.1,6,7,73.5
"Denmark","European Union",4.5,5.4,97.2905,11.53,25.1,0.04,5.39,1.2,1,12.8,77.1
"Malaysia","Asia",6.9,8.1,127.9145,0.5,24.9,0.18,27.74,8.3,8.2,9.6,74.3
"India","Asia",49.4,64.6,197.9155,1.92,21.2,0.12,1200.67,27,27.9,5.2,65.8
"Sao Tome and Principe","Central America and Caribbean",54.3,82,220.45,5.07,23.5,1.31,0.14,8,8.1,4.2,61.4
"Barbados","Central America and Caribbean",13.8,15,106.695,8.66,27.3,0.38,0.28,3.8,3.8,9.4,78.4
"Cameroon","Africa",81.7,134,402.4095,4.6,23.4,3.26,16.8,7.2,7.3,5.1,51.9
"Ukraine","Rest of Europe",13,15.1,269.69,6.51,25.9,0.44,47.45,2.7,2.8,10.7,68.2
"Gabon","Africa",50.2,77.8,323.9475,6.41,24,3,1.32,7.5,7.4,6.6,57.8
"Germany","European Union",4.1,5,90.053,11.92,26,0.08,82.53,1.1,1.1,12.5,78.4
"Sao Tome and Principe","Central America and Caribbean",39.3,55.5,208.017,5.5,24,0.62,0.16,7,7,4.5,64.7
"Malawi","Africa",92.9,160.5,581.009,1.3,21.8,8.8,11.43,7.9,7.7,3.1,45.2
"Solomon Islands","Oceania",24.9,29.8,208.273,1.2,25.2,0.17,0.45,1.3,1.3,4.7,68.5
"Guinea","Africa",77.6,123.3,299.6,0.21,22.5,1.02,9.74,8.6,8.6,1.6,55.6
"Barbados","Central America and Caribbean",13.5,14.6,101.5875,9.05,27.5,0.31,0.28,3.8,3.8,10.5,78.6
"Spain","European Union",3.6,4.4,71.7905,11.05,26.2,0.09,45.23,0.6,0.5,9.1,80.9
"St. Lucia","Central America and Caribbean",16.4,18.8,150.5345,12.59,28.2,0.4,0.17,4.3,4.4,7.7,74.4
"Kazakhstan","Asia",27.3,31,274.4505,6.57,25.8,0.07,15.15,2.4,2.5,11.7,65.9
"El Salvador","Central America and Caribbean",24.7,29.6,216.117,2.85,26.2,0.37,5.96,2,1.9,5.5,69.4
"Australia","Oceania",4.8,5.7,66.521,10.3,26.7,0.05,20.39,0.7,0.6,11.7,80.8
"Portugal","European Union",5.1,6.6,108.319,12.63,25.6,0.22,10.36,0.8,0.6,6.9,76.8
"Eritrea","Africa",39,55.1,289.377,1.13,20.5,0.25,3.17,8.9,8.8,3.9,62.2
"Uzbekistan","Asia",48.4,57.4,190.2825,2.92,24.9,0.02,24.96,3.4,3.3,9.2,67.4
"Tajikistan","Asia",41.7,48.8,151.8545,0.54,24.8,0.1,7.06,3.8,3.8,10.5,67.4
"Canada","North America",4.8,5.5,66.0915,8.2,26.9,0.1,35.08,0.5,0.5,12.9,81.7
"Uganda","Africa",47,71.6,340.7545,8.79,22,2.89,33.48,5.9,5.9,5.4,58.1
"Slovenia","European Union",2.8,3.4,88.8695,10.52,26,0.03,2.04,1.7,1.7,12.1,79
"Djibouti","Africa",65.9,81.2,286.076,0.49,23.8,0.5,0.82,5.7,5.6,3.9,59.1
"Antigua and Barbuda","Central America and Caribbean",10.6,12.9,146.703,7.44,25.6,0.1,0.08,3.5,3.4,9.1,75
"Eswatini","Africa",69.8,119.2,615.708,5.62,25.7,20.22,1.02,8.2,8.4,3.4,43.4
"Slovenia","European Union",4.6,5.5,120.8335,12.8,25.4,0.02,1.99,2.2,2.3,11.6,75.4
"Estonia","European Union",2.8,3.6,118.171,17.75,26.3,0.08,1.32,1.9,1.9,12.6,77.1
"Kyrgyz Republic","Asia",40.6,47.4,223.721,5.7,24.8,0.03,4.95,3.6,3.6,9.9,68.7
"Mauritius","Africa",13.1,15,146.3845,3.17,25.1,0.81,1.26,7,7,8.9,74
"New Zealand","Oceania",5.4,6.5,74.797,9.36,27.3,0.03,4.18,0.3,0.3,11.7,80
"Ghana","Africa",52.1,78,265.4325,0.67,23.4,1.15,22.96,7.7,7.6,6.5,59.7
"Afghanistan","Asia",87.9,125.2,304.858,0.02,21.8,0.02,21.61,2.1,2.4,2.2,56.3
"Ireland","European Union",3.9,4.6,73.766,13.17,26.9,0.06,4.4,0.3,0.2,11.9,79.6
"Moldova","Rest of Europe",26.2,31.5,241.2055,6.76,25.9,0.23,2.92,3.6,3.7,9,67
"Rwanda","Africa",109.5,185.2,442.3195,8.71,20.9,3.17,7.93,7.6,7.7,2.3,48.6
"Suriname","South America",21.7,24.4,184.945,4.82,26,0.71,0.52,3.5,3.4,7.7,69.9
"Gambia, The","Africa",50,83.8,282.4125,3.19,23,1.37,1.64,8.8,8.7,2.5,58.7
"Israel","Middle East",5.6,6.9,78.6545,2.58,26.1,0.08,6.29,1.1,1.1,12,79
"Solomon Islands","Oceania",24.7,29.6,202.334,1.21,25.3,0.17,0.46,1.3,1.3,4.8,68.8
"Botswana","Africa",41.1,51.9,336.393,6.24,24.2,7.61,2.02,7.7,7.4,8.9,61.9
"Brazil","South America",23.5,26.5,171.4535,6.7,25.2,0.25,184.01,3.2,3.2,6.2,71.5
"Brunei Darussalam","Asia",7.7,9.5,93.9375,0.63,25.9,0.1,0.37,6.3,5.8,8.5,74.2
"Moldova","Rest of Europe",14.2,16.5,176.378,8.3,26.8,0.39,2.86,2.7,2.9,11.4,70.6
"Bhutan","Asia",47.2,61.2,260.832,0.97,22.7,0.23,0.64,18,18.8,2.3,64.5
"Yemen, Rep.","Middle East",46.1,60.7,221.5195,0.03,23.7,0.03,26.5,13.6,13.4,3,66.1
"Eritrea","Africa",35.8,49.5,267.946,1.03,20.6,0.16,3.34,8.6,8.4,3.9,63.7
"Iraq","Middle East",33.7,41.8,172.033,0.083,27.3,0.13,25.64,5.5,5.2,5.5,68.6
"Zambia","Africa",46.9,67.7,302.822,3.5,22.5,4.48,15.88,6.3,6.1,6.9,61.7
"Madagascar","Africa",64.9,100.8,276.098,1.05,20.7,0.03,16.26,8.6,8.5,5.2,59.1
"St. Vincent and the Grenadines","Central America and Caribbean",19.1,21.9,182.1335,5.21,25.7,0.4,0.11,3.9,3.8,7.7,71
"Kazakhstan","Asia",10.6,11.9,182.111,3.33,26.3,0.14,17.54,2.4,2.5,11.7,72
"Denmark","European Union",4.7,5.6,101.2215,11.54,25,0.04,5.36,1.3,1,11.4,76.8
"Mauritius","Africa",16.6,18.8,172.883,4.58,24.5,1.21,1.19,8.1,8.1,6.2,71.7
"Serbia","Rest of Europe",5.4,6.3,114.328,7.2,26,0.02,7.1,2,2,11,75.3
"Peru","South America",20.6,26.5,141.9155,4.65,25.5,0.2,27.87,1.3,1.3,8.7,72.9
"Solomon Islands","Oceania",20.5,24.2,155.1685,0.94,26,0.17,0.57,1.1,1.2,5.3,71.6
"United Kingdom","Rest of Europe",5.3,6.2,84.179,11.28,26.5,0.08,59.65,0.7,0.5,12,78.4
"Mauritania","Africa",57.5,87.7,206.528,0,24.8,0.16,3.82,8.1,7.9,4.1,63.4
"Belgium","European Union",3.6,4.4,79.9355,10.14,26,0.08,11.04,0.9,0.9,11.2,80.6
"Paraguay","South America",19,22.3,145.351,5.21,26.6,0.14,6.69,2,1.9,8.5,73.7
"Cuba","Central America and Caribbean",5.2,6.5,95.7135,3.97,25.2,0.15,11.23,3.4,3.2,10.8,78.3
"Malta","European Union",5.8,6.6,54.9785,6.89,27.1,0.08,0.42,0.8,0.7,10.5,80.7
"Kyrgyz Republic","Asia",35.6,41.1,222.7265,6.65,25.1,0.08,5.1,3.4,3.4,10.1,68.2
"Belgium","European Union",4,4.9,88.2405,12.21,25.7,0.08,10.48,0.8,0.8,10.7,79
"Bulgaria","European Union",13.8,16.7,158.938,11.07,25.3,0.02,8.01,2.4,2.5,9.9,71.8
"Slovenia","European Union",4.3,5.2,121.8735,11.58,25.4,0.02,1.99,2.2,2.2,11.5,75.8
"Guinea","Africa",99.9,164.2,324.7675,0.18,21.8,1.34,8.24,1.3,1.3,1.5,51.2
"Bolivia","South America",43.1,56.2,219.8665,2.8,25.3,0.19,9.23,1.3,1.2,7,65.3
"Saudi Arabia","Middle East",17.7,20.7,107.6395,0.049,27.6,0.13,21.2,7.3,7.3,6.8,72.8
